scaffold,coverage,stdev
1,4.84555,2.98513
2,104.022,45.1884
3,20.963,10.3827
4,96.2659,26.3782
5,68.6503,31.2098
6,26.6503,10.7848
7,116.251,30.7313
8,89.5037,29.7686
9,68.9943,24.421
10,7.48264,3.8769
11,44.4761,30.3525
12,28.2301,17.6028
13,65.4562,19.4145
14,88.2198,27.5976
15,64.6827,24.5947
16,57.4598,24.3693
17,28.176,14.6522
18,11.0241,5.84493
19,59.8561,21.5501
20,12.7983,28.3589
21,73.791,21.8757
22,18.4133,12.1416
23,34.9988,19.6442
24,28.0076,13.2835
25,20.069,10.0523
26,10.6438,5.10561
27,4.50751,2.90767
28,19.0362,13.5339
29,106.81,41.3576
30,25.7327,17.4632
31,54.2218,19.752
32,14.8585,5.19034
33,37.4465,54.2033
34,39.4293,18.3045
35,54.2191,19.9411
36,5.09228,5.92562
37,39.076,26.0362
38,123.867,28.115
39,11.4653,4.76744
40,103.698,61.1324
41,67.3946,18.7284
42,21.228,29.6399
43,54.1045,19.4816
44,107.847,30.8223
45,125.221,54.1118
46,34.4306,25.0512
47,32.5362,14.6456
48,23.0362,20.7042
49,34.4648,23.5263
50,31.8567,15.1772
51,33.3286,11.9228
52,30.8391,12.0051
53,11.6316,4.94679
54,16.4603,6.24985
55,14.2767,4.82191
56,30.7553,7.48207
57,16.8678,6.63946
58,103.651,40.5116
59,19.4914,7.65675
60,40.2827,59.3256
61,11.2046,4.65157
62,56.4519,17.8762
63,112.49,36.5988
64,22.0217,10.07
65,21.482,8.77159
66,18.7009,7.99416
67,34.1918,10.4406
68,25.9919,8.38083
69,38.2006,10.4019
70,18.282,12.211
71,7.44333,4.08283
72,14.6971,5.64147
73,108.312,44.3983
74,13.2644,5.22954
75,108.217,44.243
76,27.7514,13.391
77,118.015,31.7562
78,30.6133,16.2105
79,13.894,6.89834
80,8.82493,4.36365
81,26.5788,12.306
82,108.621,40.7317
83,108.81,37.7589
84,79.0363,18.1019
85,105.789,51.1735
86,16.3547,10.8604
87,105.634,36.9053
88,9.82929,4.85376
89,44.9,34.4091
90,32.72,17.8203
91,42.9815,26.1941
92,29.2842,23.9614
93,105.886,28.9923
94,19.3222,11.3649
95,31.1347,8.33372
96,119.767,35.8416
97,207.85,141.746
98,31.378,8.80176
99,27.2389,10.8117
100,18.3613,9.26856
101,7.18752,3.56624
102,14.543,12.428
103,106.268,32.6232
104,29.5469,7.38552
105,19.8486,6.69287
106,20.7574,11.6096
107,125.512,27.9108
108,30.4373,10.1375
109,133.578,42.4483
110,7.75782,4.09211
111,103.523,43.5838
112,45.968,31.8871
113,28.2135,10.6432
114,27.6043,9.29672
115,10.23,4.15963
116,13.313,6.33269
117,15.4671,19.3222
118,34.6979,10.7121
119,24.2473,11.3229
120,24.6343,7.14875
121,29.5884,12.6925
122,11.5575,7.68931
123,11.8671,5.34136
124,35.1163,11.8925
125,114.962,34.3002
126,27.331,11.0175
127,110.072,38.1109
128,14.0895,4.97151
129,27.7323,7.84826
130,10.7897,4.26673
131,23.9004,6.87282
132,18.2199,11.5527
133,32.5069,10.965
134,12.7358,5.10848
135,21.1941,13.2007
136,123.035,26.8204
137,14.4009,5.65431
138,24.7458,9.71298
139,34.7096,11.2788
140,8.76012,3.82398
141,25.8862,10.3538
142,10.2672,4.70384
143,32.5541,11.6595
144,13.2051,4.97121
145,29.1289,8.50402
146,27.6962,11.4423
147,300.778,79.3306
148,12.6478,6.03406
149,61.0694,13.3282
150,7.36699,3.57819
151,11.3435,4.99787
152,146.916,96.6664
153,56.6288,42.3586
154,23.2891,8.43779
155,14.1828,4.86507
156,25.4308,7.42751
157,11.0866,4.64763
158,8.65072,4.79846
159,12.388,6.33144
160,12.2312,4.86571
161,12.4553,9.86855
162,116.353,41.9189
163,11.9686,4.9306
164,12.6477,5.03813
165,26.8143,10.3025
166,29.0849,9.10547
167,126.24,99.7901
168,49.9579,54.9579
169,24.0454,7.96811
170,93.5668,24.7115
171,25.8807,7.82509
172,9.58392,4.61118
173,11.2366,4.51572
174,35.1203,10.6753
175,31.6526,22.6388
176,26.0017,46.3555
177,18.7237,6.98226
178,11.0091,9.88013
179,12.1064,6.42929
180,49.5291,19.3325
181,8.85575,4.64514
182,51.7179,11.8805
183,45.5793,52.868
184,10.8676,4.54367
185,30.4037,14.0522
186,52.5114,39.8384
187,14.7284,5.34055
188,29.7133,14.1023
189,113.994,29.5885
190,9.6073,4.12101
191,15.6112,6.72605
192,65.857,27.4932
193,25.9992,8.38062
194,24.8702,7.22339
195,37.5498,62.1784
196,35.1682,19.0396
197,25.1954,11.0822
198,9.66733,4.05595
199,57.2713,16.735
200,79.8106,25.2035
201,116.686,44.8699
202,36.1727,9.63311
203,29.2546,13.6545
204,30.9243,13.435
205,26.2899,9.93836
206,37.1148,15.3731
207,33.0854,14.6526
208,10.7672,4.93126
209,137.067,37.3802
210,113.443,30.5215
211,108.17,34.9646
212,26.985,11.4766
213,36.2941,13.3466
214,39.3474,18.3392
215,32.164,9.39943
216,38.2073,24.5578
217,32.4711,16.1688
218,7.73812,4.1131
219,35.9721,38.1588
220,14.7558,4.84162
221,33.5472,11.8144
222,144.856,73.0413
223,28.4352,11.3212
224,18.815,6.95002
225,30.4545,14.0545
226,114.544,31.7422
227,43.3789,51.6427
228,36.1501,14.0952
229,19.0018,12.1095
230,124.349,68.3561
231,16.0698,10.6614
232,11.4171,5.03222
233,58.5664,12.6257
234,31.074,10.5958
235,104.859,25.5612
236,31.6767,10.9884
237,23.9707,7.38438
238,20.4697,7.83318
239,32.3515,12.566
240,37.4994,13.6999
241,40.781,15.0986
242,10.4851,4.49563
243,18.4123,10.3937
244,33.1816,10.7502
245,10.2189,4.04437
246,124.436,81.6464
247,94.9981,49.8846
248,103.964,32.5085
249,20.3246,9.60857
250,94.8934,56.4301
251,10.4282,4.81353
252,26.3693,11.2038
253,27.997,11.649
254,6.46052,3.7393
255,15.1113,5.31264
256,23.2016,7.54151
257,25.1426,19.1204
258,121.004,40.0063
259,26.1433,7.59077
260,11.9829,5.28806
261,30.2215,11.2774
262,123.327,33.673
263,73.654,49.2827
264,2.27216,1.85829
265,10.8681,4.66265
266,121.686,61.342
267,31.2864,15.9441
268,13.3839,4.96802
269,16.7114,6.19531
270,11.9222,6.69972
271,17.4455,9.07176
272,28.0492,8.08174
273,32.8546,11.3071
274,27.2299,9.86951
275,28.322,15.8358
276,128.282,29.1525
277,8.29241,4.26742
278,31.8501,12.004
279,94.0964,62.2667
280,67.9161,21.3843
281,11.4249,6.23116
282,123.775,34.721
283,57.7217,12.6415
284,33.8055,9.18401
285,22.3603,8.51733
286,25.5542,10.8143
287,14.9163,5.0979
288,29.4146,30.5795
289,31.3798,12.377
290,6.64436,5.37529
291,39.013,20.6413
292,32.6908,8.40838
293,20.7521,6.95134
294,34.4544,29.1698
295,54.9864,13.1546
296,14.0082,5.2461
297,11.9083,4.37863
298,24.5639,10.3795
299,14.0468,4.96613
300,78.6631,33.1031
301,35.1798,40.9637
302,26.6028,8.51029
303,34.1795,9.88096
304,11.8108,4.8907
305,33.4603,11.5231
306,10.7791,5.18057
307,15.6892,5.06559
308,29.7644,11.9536
309,36.7669,11.0901
310,23.4678,8.93027
311,27.9026,11.5106
312,31.6007,11.6065
313,99.6221,40.7643
314,31.9314,11.4774
315,25.6715,8.3069
316,172.051,93.122
317,12.5237,7.61163
318,29.5554,34.0022
319,25.8487,6.87209
320,107.043,37.9959
321,31.2764,12.2859
322,11.2935,5.28082
323,35.0228,48.7857
324,28.102,7.64268
325,18.4584,6.10239
326,8.6822,8.86523
327,30.1675,11.0846
328,26.6486,8.33894
329,17.4438,9.12331
330,6.91023,4.47078
331,12.9248,5.07501
332,19.4546,11.1602
333,27.9144,11.948
334,22.6153,8.17982
335,13.1319,4.47341
336,34.8967,10.8823
337,38.5372,30.1592
338,34.5812,10.3559
339,18.9689,6.06691
340,11.3277,5.25523
341,34.2948,11.12
342,10.7155,5.0073
343,54.3578,14.1578
344,51.9495,12.6259
345,25.0393,9.12128
346,90.7912,45.1865
347,104.109,33.9867
348,32.1265,9.7595
349,12.6247,6.26475
350,27.0388,8.62042
351,28.1347,8.45416
352,12.8569,10.0753
353,101.098,111.225
354,9.1517,29.1977
355,34.7318,14.2109
356,33.5987,9.06585
357,2.36586,2.10041
358,84.698,278.256
359,8.17118,4.59023
360,47.2788,68.0121
361,132.076,308.717
362,22.6211,6.62396
363,113.036,36.4602
364,27.7605,12.5396
365,23.681,7.66632
366,26.4417,9.11429
367,43.0866,24.536
368,33.3099,11.3501
369,125.595,64.4312
370,11.0014,4.50943
371,59.1027,12.2049
372,13.9609,4.97948
373,33.4739,10.0125
374,26.8436,11.5073
375,15.0351,6.52643
376,89.2986,47.8666
377,8.48565,4.83271
378,30.3119,9.50892
379,27.0261,17.332
380,35.5713,11.2449
381,97.6686,34.356
382,36.7954,10.9319
383,25.2927,7.64981
384,5.81341,3.43414
385,69.3442,99.1148
386,59.864,14.3304
387,10.7053,4.19628
388,26.8999,9.87212
389,26.2634,7.3757
390,39.7124,20.5558
391,10.3347,4.29752
392,25.2578,11.9638
393,27.6637,13.7445
394,25.5481,7.69857
395,11.1282,4.81097
396,9.83697,11.0501
397,25.7179,10.2245
398,56.1449,11.0589
399,11.3567,4.81845
400,15.8958,6.00457
401,33.7259,12.9089
402,4.46301,4.24805
403,33.6322,32.7
404,62.3147,13.9269
405,18.5868,5.88923
406,3.44528,2.50242
407,6.43484,3.59217
408,19.4781,5.54491
409,29.0946,12.2315
410,32.3804,14.6658
411,11.0212,4.45393
412,6.49651,3.38572
413,42.6772,13.7137
414,29.1108,8.02835
415,13.641,5.53037
416,30.6364,11.9807
417,55.4443,12.8726
